prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
14f3eb89fde80f88a51d0436177073bb1c40c21ffbb4813bf43d23ae6513a763,f,43,11,introvert,yes,weekly,no,desktop,Chrome,5.0
011b2025f4a5b74f38a2e940e3c458cd90bc9b499b2b714c117e7fac81d6936a,m,26,68,none,yes,daily,yes,desktop,Chrome,5.0
2089bff15100d4987d1089257ee15cd17b9aeae9e81a5710e86d26ad750fa4ec,m,43,40,none,yes,daily,no,desktop,Chrome,5.0
84a16c93a6e3abfaf04edacde5f4794e052537cbf2a711a0dea77984bd23f0ae,m,31,11,introvert,yes,weekly,no,desktop,Chrome,5.0
00d868ace34f758fc917504be10251f9917a311a4c6a11dbfcadf59acf090dc0,f,37,74,extrovert,yes,daily,no,desktop,Chrome,5.0
e1d68ce6dee887438f41466aa1951fb1ed1b34de595f18fd7ac054245cb28ec3,f,24,48,none,yes,daily,yes,desktop,Chrome,3.0
9f9766f44ae331e0ebd32e90048662462e3acaf92836cc98e031b78e1381828d,f,50,13,introvert,yes,daily,no,desktop,Chrome,5.0
7cece43c363b8efd3ff0d466f4da343ec8b8d4e9f6dfd2a1499147b5c96d12d5,f,46,21,introvert,yes,daily,no,desktop,Chrome,5.0
9284c64564494743c69c35884fc7ffb577ad56a3eecbd263ee5f7534703f2140,f,35,15,introvert,yes,daily,no,desktop,Chrome,5.0
085b6afe685873869fc83febf362a9eb4c45a4c51a3c243081eb7fbe30bab9a4,f,38,8,introvert,yes,daily,yes,desktop,Chrome,5.0
4294e7ca0380fea296f4c83492ed3569eb60ac2d1475589dce161fa04da838d8,f,55,32,none,yes,daily,no,desktop,Chrome,5.0
5d31fc99a017a10fe726874b334c5836d46ecd5291aef1e83864356f1ac8ccba,f,52,42,none,yes,daily,no,desktop,Chrome,5.0
19030b321cdad2f4894f850b3108d4af2f2e9684a676cc39f855826ad7546557,m,30,82,extrovert,yes,daily,yes,desktop,Chrome,5.0
7e77ae5c89c916f57f0b3dce9f102c55f27847185d538b9621f7ed04880d2f8d,f,42,20,introvert,yes,weekly,yes,desktop,Chrome,5.0
