Trial,Reach,Total,Audience,AdType,Fail,AdID,ProfilingMethod
2,390,728,Introvert,Extrovert-ad,338,Extrovert-ad-2,Behavioral
3,193,371,Introvert,Extrovert-ad,178,Extrovert-ad-2,Behavioral
4,530,565,Introvert,Extrovert-ad,35,Extrovert-ad-2,Behavioral
5,395,630,Introvert,Extrovert-ad,235,Extrovert-ad-2,Behavioral
6,363,644,Introvert,Extrovert-ad,281,Extrovert-ad-2,Behavioral
7,185,385,Introvert,Extrovert-ad,200,Extrovert-ad-2,Behavioral
8,315,533,Introvert,Extrovert-ad,218,Extrovert-ad-2,Behavioral
9,283,518,Introvert,Extrovert-ad,235,Extrovert-ad-2,Behavioral
0,82,148,Extrovert,Extrovert-ad,66,Extrovert-ad-2,Behavioral
1,158,252,Extrovert,Extrovert-ad,94,Extrovert-ad-2,Behavioral
2,189,314,Extrovert,Extrovert-ad,125,Extrovert-ad-2,Behavioral
3,114,198,Extrovert,Extrovert-ad,84,Extrovert-ad-2,Behavioral
4,308,466,Extrovert,Extrovert-ad,158,Extrovert-ad-2,Behavioral
5,246,377,Extrovert,Extrovert-ad,131,Extrovert-ad-2,Behavioral
6,264,428,Extrovert,Extrovert-ad,164,Extrovert-ad-2,Behavioral
7,106,169,Extrovert,Extrovert-ad,63,Extrovert-ad-2,Behavioral
8,179,259,Extrovert,Extrovert-ad,80,Extrovert-ad-2,Behavioral
9,106,183,Extrovert,Extrovert-ad,77,Extrovert-ad-2,Behavioral
0,66,148,Extrovert,Introvert-ad,82,Introvert-ad-2,Behavioral
1,94,252,Extrovert,Introvert-ad,158,Introvert-ad-2,Behavioral
2,125,314,Extrovert,Introvert-ad,189,Introvert-ad-2,Behavioral
3,84,198,Extrovert,Introvert-ad,114,Introvert-ad-2,Behavioral
4,158,466,Extrovert,Introvert-ad,308,Introvert-ad-2,Behavioral
5,131,377,Extrovert,Introvert-ad,246,Introvert-ad-2,Behavioral
6,164,428,Extrovert,Introvert-ad,264,Introvert-ad-2,Behavioral
7,63,169,Extrovert,Introvert-ad,106,Introvert-ad-2,Behavioral
8,80,259,Extrovert,Introvert-ad,179,Introvert-ad-2,Behavioral
9,77,183,Extrovert,Introvert-ad,106,Introvert-ad-2,Behavioral
